team,player,period,block_id,frames,start_s,end_s
Home,7,1,Home_7_1_10,1335,583.16,636.52
Home,7,1,Home_7_1_11,546,636.88,658.68
Home,7,1,Home_7_1_12,32,691.24,692.48
Home,7,1,Home_7_1_13,1405,728.32,784.48
Home,7,1,Home_7_1_14,1732,806.04,875.28
Home,7,1,Home_7_1_15,488,999.4,1018.88
Home,7,1,Home_7_1_16,221,1019.24,1028.04
Home,7,1,Home_7_1_17,2034,1061.96,1143.28
Home,7,1,Home_7_1_18,1572,1151.72,1214.56
Home,7,1,Home_7_1_19,1962,1214.92,1293.36
Home,7,1,Home_7_1_20,508,1293.72,1314.0
Home,7,1,Home_7_1_21,1423,1366.64,1423.52
Home,7,1,Home_7_1_22,175,1461.6,1468.56
Home,7,1,Home_7_1_23,1254,1475.4,1525.52
Home,7,1,Home_7_1_24,4326,1525.88,1698.88
Home,7,1,Home_7_1_25,234,1699.24,1708.56
Home,7,1,Home_7_1_26,1149,1724.72,1770.64
Home,7,1,Home_7_1_27,585,1771.0,1794.36
Home,7,1,Home_7_1_28,713,1804.76,1833.24
Home,7,1,Home_7_1_29,158,1833.6,1839.88
Home,7,1,Home_7_1_30,18,1859.6,1860.28
Home,7,1,Home_7_1_31,1128,1886.04,1931.12
Home,7,1,Home_7_1_32,2081,1936.36,2019.56
Home,7,1,Home_7_1_33,581,2019.92,2043.12
Home,7,1,Home_7_1_34,136,2043.48,2048.88
Home,7,1,Home_7_1_35,1800,2058.64,2130.6
Home,7,1,Home_7_1_36,499,2130.96,2150.88
Home,7,1,Home_7_1_37,2129,2171.72,2256.84
Home,7,1,Home_7_1_38,377,2257.2,2272.24
Home,7,1,Home_7_1_39,2564,2300.56,2403.08
Home,7,1,Home_7_1_40,1029,2507.44,2548.56
Home,7,1,Home_7_1_41,2519,2548.92,2649.64
Home,7,1,Home_7_1_42,191,2668.28,2675.88
Home,7,1,Home_7_1_43,2989,2676.24,2795.76
Home,7,1,Home_7_1_44,1363,2796.12,2850.6
Home,7,2,Home_7_2_45,859,2850.92,2885.24
Home,7,2,Home_7_2_46,1266,2885.6,2936.2
Home,7,2,Home_7_2_47,216,2947.0,2955.6
Home,7,2,Home_7_2_48,2163,2965.4,3051.88
Home,7,2,Home_7_2_49,1575,3080.64,3143.6
Home,7,2,Home_7_2_50,703,3143.96,3172.04
Home,7,2,Home_7_2_51,1890,3187.28,3262.84
Home,7,2,Home_7_2_52,478,3295.96,3315.04
Home,7,2,Home_7_2_53,1511,3315.4,3375.8
Home,7,2,Home_7_2_54,513,3376.16,3396.64
Home,7,2,Home_7_2_55,952,3435.48,3473.52
Home,7,2,Home_7_2_56,51,3496.64,3498.64
Home,7,2,Home_7_2_57,470,3551.88,3570.64
Home,7,2,Home_7_2_58,2427,3571.0,3668.04
Home,7,2,Home_7_2_59,359,3668.4,3682.72
Home,7,2,Home_7_2_60,2531,3742.88,3844.08
Home,7,2,Home_7_2_61,867,3854.56,3889.2
Home,7,2,Home_7_2_62,1056,3889.56,3931.76
Home,7,2,Home_7_2_63,2346,3932.12,4025.92
Home,7,2,Home_7_2_64,1860,4026.36,4100.72
Home,7,2,Home_7_2_65,1017,4101.16,4141.8
Home,7,2,Home_7_2_66,3703,4142.24,4290.32
Home,7,2,Home_7_2_67,6015,4290.76,4531.32
Home,7,2,Home_7_2_68,815,4531.76,4564.32
Home,7,2,Home_7_2_69,5598,4583.88,4807.76
Home,7,2,Home_7_2_70,3485,4931.52,5070.88
Home,7,2,Home_7_2_71,2441,5071.32,5168.92
Home,7,2,Home_7_2_72,4000,5169.36,5329.32
Home,7,2,Home_7_2_73,1837,5329.76,5403.2
